date,precip
2021-06-01,0.14920057356357574
2021-06-02,0.08396641910076141
2021-06-03,0.44498032331466675
2021-06-04,19.444719314575195
2021-06-05,6.373211860656738
2021-06-06,0.0
2021-06-07,0.43910208344459534
2021-06-08,9.79926586151123
2021-06-09,0.6043840646743774
2021-06-10,0.006326630245894194
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,5.734717845916748
2021-06-18,0.0629977434873581
2021-06-19,0.0
2021-06-20,17.208162307739258
2021-06-21,32.12469482421875
2021-06-22,28.395523071289062
2021-06-23,9.394492149353027
2021-06-24,9.2896728515625
2021-06-25,0.04589417204260826
2021-06-26,0.0
2021-06-27,7.9705729484558105
2021-06-28,34.8331413269043
2021-06-29,16.1564998626709
2021-06-30,4.303004741668701
2021-07-01,0.040224891155958176
2021-07-02,0.0
2021-07-03,1.4413928985595703
2021-07-04,0.2681009769439697
2021-07-05,0.01710999384522438
2021-07-06,20.3239803314209
2021-07-07,4.644095420837402
2021-07-08,7.483453273773193
2021-07-09,0.02793342061340809
2021-07-10,9.775086402893066
2021-07-11,0.0026125835720449686
2021-07-12,38.09476852416992
2021-07-13,21.473262786865234
2021-07-14,22.556293487548828
2021-07-15,9.169478416442871
2021-07-16,2.0433237552642822
2021-07-17,0.15572573244571686
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.060383979231119156
2021-07-24,17.569915771484375
2021-07-25,16.68712043762207
2021-07-26,0.928691565990448
2021-07-27,9.635069847106934
2021-07-28,1.683464527130127
2021-07-29,0.07772514224052429
2021-07-30,7.1499223709106445
2021-07-31,18.282840728759766
