date,TminD
2021-04-01,7.405755996704102
2021-04-02,7.0326762199401855
2021-04-03,4.4655890464782715
2021-04-04,2.16609787940979
2021-04-05,0.7071933150291443
2021-04-06,-1.2864513397216797
2021-04-07,-1.717488169670105
2021-04-08,-2.231569766998291
2021-04-09,1.058488368988037
2021-04-10,6.709864616394043
2021-04-11,4.643151760101318
2021-04-12,1.4497835636138916
2021-04-13,0.07216335088014603
2021-04-14,0.4666537344455719
2021-04-15,1.1017571687698364
2021-04-16,-0.13401105999946594
2021-04-17,0.6490126848220825
2021-04-18,2.497183322906494
2021-04-19,1.3278486728668213
2021-04-20,2.4485177993774414
2021-04-21,4.215949058532715
2021-04-22,5.0760722160339355
2021-04-23,5.799524784088135
2021-04-24,4.629083633422852
2021-04-25,7.755529880523682
2021-04-26,9.330832481384277
2021-04-27,6.505169868469238
2021-04-28,9.921772956848145
2021-04-29,9.521111488342285
2021-04-30,7.394506454467773
2021-07-01,13.689159393310547
2021-07-02,11.992860794067383
2021-07-03,14.539796829223633
2021-07-04,15.150239944458008
2021-07-05,15.646071434020996
2021-07-06,14.71888542175293
2021-07-07,15.481189727783203
2021-07-08,13.918963432312012
2021-07-09,13.136282920837402
2021-07-10,12.265892028808594
2021-07-11,12.679671287536621
2021-07-12,13.75879955291748
2021-07-13,12.914515495300293
2021-07-14,12.8307523727417
2021-07-15,13.77431869506836
2021-07-16,13.765595436096191
2021-07-17,13.702154159545898
2021-07-18,17.756290435791016
2021-07-19,16.774442672729492
2021-07-20,15.668793678283691
2021-07-21,14.228190422058105
2021-07-22,14.890682220458984
2021-07-23,15.629669189453125
2021-07-24,17.41943359375
2021-07-25,15.687520980834961
2021-07-26,16.136512756347656
2021-07-27,13.714676856994629
2021-07-28,14.401851654052734
2021-07-29,14.022639274597168
2021-07-30,15.909818649291992
2021-07-31,13.810979843139648
2021-06-01,9.78050422668457
2021-06-02,14.529275894165039
2021-06-03,15.152767181396484
2021-06-04,15.240472793579102
2021-06-05,13.853754997253418
2021-06-06,12.557473182678223
2021-06-07,15.240007400512695
2021-06-08,14.678277015686035
2021-06-09,13.799492835998535
2021-06-10,12.560273170471191
2021-06-11,13.460814476013184
2021-06-12,14.389439582824707
2021-06-13,15.353413581848145
2021-06-14,14.095022201538086
2021-06-15,14.2061128616333
2021-06-16,15.67984390258789
2021-06-17,16.985408782958984
2021-06-18,18.01602554321289
2021-06-19,18.306119918823242
2021-06-20,15.165441513061523
2021-06-21,15.312674522399902
2021-06-22,14.644824981689453
2021-06-23,13.781996726989746
2021-06-24,12.799983978271484
2021-06-25,13.294260025024414
2021-06-26,11.53958797454834
2021-06-27,14.028849601745605
2021-06-28,15.703720092773438
2021-06-29,12.487244606018066
2021-06-30,11.947422981262207
2021-05-01,5.26904821395874
2021-05-02,3.5714430809020996
2021-05-03,1.1918491125106812
2021-05-04,6.470250129699707
2021-05-05,7.335517883300781
2021-05-06,7.10260534286499
2021-05-07,6.308096408843994
2021-05-08,4.423775672912598
2021-05-09,7.929844379425049
2021-05-10,11.587183952331543
2021-05-11,9.033529281616211
2021-05-12,8.29915714263916
2021-05-13,6.107717514038086
2021-05-14,4.268021583557129
2021-05-15,6.548182964324951
2021-05-16,6.900328159332275
2021-05-17,7.772914409637451
2021-05-18,7.794165134429932
2021-05-19,7.154315948486328
2021-05-20,6.582000255584717
2021-05-21,7.3601460456848145
2021-05-22,7.2800612449646
2021-05-23,7.740677356719971
2021-05-24,7.730326175689697
2021-05-25,6.671568393707275
2021-05-26,9.440912246704102
2021-05-27,9.510464668273926
2021-05-28,6.59514856338501
2021-05-29,11.762547492980957
2021-05-30,9.860136985778809
2021-05-31,8.772804260253906
